Original_MDOT_Name,Standardized_Name,Edge_Nodes,AADT_Current,Station_Description,Match_Type
10TH ST,10TH ST,"[{49548197, 37627911, 49523688, 49523758, 49546639, 49476566, 49577977, 49523066, 49539934, 37684671}]",2915,10TH ST - BETWEEN MD 173 & WASHBURN AVE,exact
6TH ST,6TH ST,"[{37801089, 49460218, 49523073, 49459472, 37627921, 49469715, 49477272, 49492773, 49503781, 49500976, 49485492, 49514039, 49499074, 49499715, 49509190, 1433174986, 49522514, 49523028, 49523029, 49523031, 49511128, 49523033, 49523035, 49523037, 49523040, 49523042, 37729379, 49523048, 49523051, 49501046, 49523066, 37801086}]",1865,6TH ST - BETWEEN MD 173 & CAMBRIA ST,exact
9TH ST,9TH ST,"[{49524289, 49523682, 49524262, 37646631, 49523751, 37627913, 49524265, 49501038, 49524272, 49524278, 49511130, 49524284, 49524287}]",1475,9TH ST - BETWEEN MD 173 & BALTIC AVE,exact
ACADEMY AVE,ACADEMY AVE,"[{37581728, 37581729, 37581668, 37581669, 37580743, 37581676, 37568077, 37581711, 37581714, 37581716, 985980309, 37581688}]",3125,ACADEMY AVE - BETWEEN HIGH FALCON RD & LEYTON RD,exact
ACADEMY RD,ACADEMY RD,"[{37396482, 37586089, 37800046, 37800048, 37800050, 37654611, 37800052, 37800054, 37795738}]",4325,ACADEMY RD - .10 MILE NORTH OF EDMONDSON AVE,exact
AIGBURTH RD,AIGBURTH RD,"[{37906022, 37601960, 37764012, 37648013, 37745455, 37827536, 37776050, 1021368659, 37907513, 37725019, 37787901, 37790302}]",2810,AIGBURTH RD - .10 MILE EAST OF MD 45,exact
AILSA AVE,AILSA AVE,"[{49492287, 49484903, 49514440, 49514471, 49514439, 49514472, 49504908, 49514474, 49511246, 49469487, 49481806, 49514449, 4243448817, 49514451, 49514453, 49504891, 49514492, 49456511}]",745,AILSA AVE - .10 MILE WEST OF MD 147,exact
AILSA AVE,AILSA AVE,"[{49492287, 49484903, 49514440, 49514471, 49514439, 49514472, 49504908, 49514474, 49511246, 49469487, 49481806, 49514449, 4243448817, 49514451, 49514453, 49504891, 49514492, 49456511}]",535,AILSA AVE - BETWEEN WALTHER AVE & CROSSWOOD AVE,exact
AISQUITH ST,AISQUITH ST,"[{1037923970, 998949768, 1234827532, 49475090, 10098481298, 998949785, 49467167, 998949792, 998949794, 1773166372, 49488937, 49468843, 1234827564, 1773166381, 49504302, 49489199, 49504309, 1395671608, 49482936, 49504315, 1234827582, 49504319, 49504320, 49482690, 49504322, 49456966, 49504332, 49504334, 49504344, 49501787, 1234827486, 49504351, 49500640, 1773166435, 49504358, 49504359, 49504360, 49504364, 49504368, 49494769, 49489010, 49504369, 49458932, 49496956}]",9620,AISQUITH ST-.10 MI S OF US1 (ONE WAY),exact
AISQUITH ST,AISQUITH ST,"[{1037923970, 998949768, 1234827532, 49475090, 10098481298, 998949785, 49467167, 998949792, 998949794, 1773166372, 49488937, 49468843, 1234827564, 1773166381, 49504302, 49489199, 49504309, 1395671608, 49482936, 49504315, 1234827582, 49504319, 49504320, 49482690, 49504322, 49456966, 49504332, 49504334, 49504344, 49501787, 1234827486, 49504351, 49500640, 1773166435, 49504358, 49504359, 49504360, 49504364, 49504368, 49494769, 49489010, 49504369, 49458932, 49496956}]",3464,AISQUITH ST - 100ft North of E 25th St,exact
ALAMEDA CIR,ALAMEDA CIR,"[{49463335, 2273937804, 49463312, 49539419, 49463320, 49463323}]",765,ALAMEDA CIR - BETWEEN 35TH ST & 36TH ST,exact
ALICEANNA ST,ALICEANNA ST,"[{49465217, 49531202, 49489564, 49422852, 49531205, 4472167941, 49531207, 49531211, 49475052, 49530862, 3733767440, 631168315, 49478230, 49490363, 49496156, 49531198}]",9830,ALICEANNA ST - .01 mile east of Broadway,exact
ALICEANNA ST,ALICEANNA ST,"[{49465217, 49531202, 49489564, 49422852, 49531205, 4472167941, 49531207, 49531211, 49475052, 49530862, 3733767440, 631168315, 49478230, 49490363, 49496156, 49531198}]",9830,ALICEANNA ST - .01 mile east of Broadway,exact
ALLEGHENY AVE,ALLEGHENY AVE,"[{37626306, 37807492, 1069995430, 37829165, 37600622, 37829135, 37614354, 37829139, 1973616574, 891006483, 37829142, 37684060, 37647390, 1739904543}]",5205,ALLEGHENY AVE - BETWEEN BALTIMORE AVE & WASHINGTON AVE,exact
ALLEGHENY AVE,ALLEGHENY AVE,"[{37626306, 37807492, 1069995430, 37829165, 37600622, 37829135, 37614354, 37829139, 1973616574, 891006483, 37829142, 37684060, 37647390, 1739904543}]",5942,ALLEGHENY AVE - WEST OF MD 45 (TOWSON ROUNDABOUT),exact
ALLEGHENY AVE,ALLEGHENY AVE,"[{37626306, 37807492, 1069995430, 37829165, 37600622, 37829135, 37614354, 37829139, 1973616574, 891006483, 37829142, 37684060, 37647390, 1739904543}]",2575,ALLEGHENY AVE - BETWEEN CENTRAL AVE & BOSLEY AVE,exact
ALLENDALE ST,ALLENDALE ST,"[{49485922, 49500453, 49531078, 49468327, 49529607, 49531081, 49519754, 49531083, 49410013, 49469268, 49454933, 49531096, 49485753, 49531098, 49502909}]",1265,ALLENDALE ST - BETWEEN US 40 & HARLEM AVE,exact
ALLENDER RD,ALLENDER RD,"[{37808129, 37780196, 37675144, 37612140, 1944349644, 1944349681, 37808147, 37752279, 37611867, 37674558}]",5502,ALLENDER RD -.10 MILE NORTH OF US40,exact
